name	Sample	OTU	effect	mean_Precision	mean_TPR
Corncob	50	200	10	0.346727172	0.4525
Corncob	50	200	2	0.271190476	0.02725
Corncob	50	200	5	0.392518023	0.268
Corncob	50	2000	1	0	0
Corncob	50	2000	10	0.401395642	0.128675
Corncob	50	2000	2	0.176992063	0.00245
Corncob	50	2000	5	0.389067533	0.05175
Corncob	50	300	1	0	0
Corncob	50	300	10	0.371636065	0.346
Corncob	50	300	2	0.167666667	0.01
Corncob	50	300	5	0.377734255	0.160333333
Corncob	50	400	1	0.001	0.00025
Corncob	50	400	10	0.369053809	0.349
Corncob	50	400	2	0.181373016	0.010375
Corncob	50	400	5	0.38641732	0.1695
Corncob	50	500	1	0.01	3.00E-04
Corncob	50	500	10	0.373815384	0.3729
Corncob	50	500	2	0.223056277	0.0132
Corncob	50	500	5	0.379460524	0.1729
Corncob	50	800	1	0	0
Corncob	50	800	10	0.401470852	0.1709375
Corncob	50	800	2	0.163452381	0.005
Corncob	50	800	5	0.398373234	0.0694375
Corncob	100	100	1	0.0075	0.0015
Corncob	100	100	10	0.199052369	0.841
Corncob	100	100	2	0.343981505	0.1735
Corncob	100	100	5	0.258266753	0.652
Corncob	100	1000	1	0	0
Corncob	100	1000	10	0.38692513	0.35935
Corncob	100	1000	2	0.370800103	0.0176
Corncob	100	1000	5	0.396322229	0.1956
Corncob	100	200	1	0.0075	0.001
Corncob	100	200	10	0.272234602	0.7215
Corncob	100	200	2	0.3509614	0.0875
Corncob	100	200	5	0.332437078	0.48675
Corncob	100	2000	1	0	0
Corncob	100	2000	10	0.39340448	0.27
Corncob	100	2000	2	0.351189623	0.011625
Corncob	100	2000	5	0.398403162	0.1405
Corncob	100	300	1	0	0
Corncob	100	300	10	0.311524754	0.596666667
Corncob	100	300	2	0.367029762	0.05
Corncob	100	300	5	0.357246565	0.375166667
Corncob	100	400	1	0	0
Corncob	100	400	10	0.309871081	0.625625
Corncob	100	400	2	0.382717976	0.042125
Corncob	100	400	5	0.351326489	0.386375
Corncob	100	500	1	0.006666667	3.00E-04
Corncob	100	500	10	0.303173639	0.6331
Corncob	100	500	2	0.355214567	0.0526
Corncob	100	500	5	0.34556735	0.3957
Corncob	100	800	1	0.005	6.25E-05
Corncob	100	800	10	0.386665411	0.352625
Corncob	100	800	2	0.352998224	0.01825
