name	Sample	OTU	effect	mean_TPR	mean_FPR
ALDEx2_wi	200	2000	2	0.0422	0.013377778
ALDEx2_wi	200	2000	5	0.2051	0.069372222
ALDEx2_wi	200	300	1	0	0
ALDEx2_wi	200	300	10	0.717166667	0.043288889
ALDEx2_wi	200	300	2	0.1765	0.008822222
ALDEx2_wi	200	300	5	0.567833333	0.031277778
ALDEx2_wi	200	400	1	0.000125	0
ALDEx2_wi	200	400	10	0.735375	0.058327778
ALDEx2_wi	200	400	2	0.182625	0.012088889
ALDEx2_wi	200	400	5	0.573875	0.042722222
ALDEx2_wi	200	500	1	0	0
ALDEx2_wi	200	500	10	0.7206	0.071683333
ALDEx2_wi	200	500	2	0.1846	0.015638889
ALDEx2_wi	200	500	5	0.5735	0.053366667
ALDEx2_wi	200	800	1	0	0
ALDEx2_wi	200	800	10	0.4415	0.0583
ALDEx2_wi	200	800	2	0.0686875	0.008894444
ALDEx2_wi	200	800	5	0.3214375	0.042638889
ALDEx2_wi	300	100	1	0	5.56E+06
ALDEx2_wi	300	100	10	0.934	0.036044444
ALDEx2_wi	300	100	2	0.423	0.008055556
ALDEx2_wi	300	100	5	0.8005	0.0241
ALDEx2_wi	300	1000	1	0	0
ALDEx2_wi	300	1000	10	0.5096	0.086166667
ALDEx2_wi	300	1000	2	0.1143	0.019344444
ALDEx2_wi	300	1000	5	0.39495	0.064866667
ALDEx2_wi	300	200	1	0	5.56E+06
ALDEx2_wi	300	200	10	0.868	0.043588889
ALDEx2_wi	300	200	2	0.3565	0.012488889
ALDEx2_wi	300	200	5	0.74725	0.032422222
ALDEx2_wi	300	2000	1	0	0
ALDEx2_wi	300	2000	10	0.3488	0.117911111
ALDEx2_wi	300	2000	2	0.075675	0.024966667
ALDEx2_wi	300	2000	5	0.260625	0.086977778
ALDEx2_wi	300	300	1	5.00E-04	0
ALDEx2_wi	300	300	10	0.780833333	0.049827778
ALDEx2_wi	300	300	2	0.265166667	0.013594444
ALDEx2_wi	300	300	5	0.661166667	0.038105556
ALDEx2_wi	300	400	1	0	0
ALDEx2_wi	300	400	10	0.796875	0.068772222
ALDEx2_wi	300	400	2	0.26725	0.018238889
ALDEx2_wi	300	400	5	0.68	0.051794444
ALDEx2_wi	300	500	1	0	0
ALDEx2_wi	300	500	10	0.7922	0.084005556
ALDEx2_wi	300	500	2	0.2639	0.022783333
