name	Sample	OTU	type	effect	mean_Precision	mean_TPR
Corncob	50	200	rare	2	0	0
Corncob	50	200	rare	5	0	0
Corncob	500	200	rare	1	0	0
Corncob	500	200	rare	10	0	0
Corncob	500	200	rare	2	0	0
Corncob	500	200	rare	5	0	0
Corncob	100	2000	rare	1	0	0
Corncob	100	2000	rare	10	0	0
Corncob	100	2000	rare	2	0	0
Corncob	100	2000	rare	5	0	0
Corncob	20	2000	rare	1	0	0
Corncob	20	2000	rare	10	0	0
Corncob	20	2000	rare	2	0	0
Corncob	20	2000	rare	5	0	0
Corncob	200	2000	rare	1	0	0
Corncob	200	2000	rare	10	0	0
Corncob	200	2000	rare	2	0	0
Corncob	200	2000	rare	5	0	0
Corncob	300	2000	rare	1	0	0
Corncob	300	2000	rare	10	0	0
Corncob	300	2000	rare	2	0	0
Corncob	300	2000	rare	5	0	0
Corncob	50	2000	rare	1	0	0
Corncob	50	2000	rare	10	0	0
Corncob	50	2000	rare	2	0	0
Corncob	50	2000	rare	5	0	0
Corncob	500	2000	rare	1	0	0
Corncob	500	2000	rare	10	0.035047619	4.00E-04
Corncob	500	2000	rare	2	0	0
Corncob	500	2000	rare	5	0.0025	2.50E-05
Corncob	100	300	rare	1	0	0
Corncob	100	300	rare	10	0	0
Corncob	100	300	rare	2	0	0
Corncob	100	300	rare	5	0	0
Corncob	20	300	rare	1	0	0
Corncob	20	300	rare	10	0	0
Corncob	20	300	rare	2	0	0
Corncob	20	300	rare	5	0	0
Corncob	200	300	rare	1	0	0
Corncob	200	300	rare	10	0.205310231	0.0325
Corncob	200	300	rare	2	0	0
Corncob	200	300	rare	5	0.1025	0.006833333
Corncob	300	300	rare	1	0.00125	0.000166667
Corncob	300	300	rare	10	0.303418279	0.165333333
Corncob	300	300	rare	2	0.017083333	0.001
Corncob	300	300	rare	5	0.233926666	0.039666667
Corncob	50	300	rare	1	0	0
Corncob	50	300	rare	10	0	0
Corncob	50	300	rare	2	0	0
Corncob	50	300	rare	5	0	0
Corncob	500	300	rare	1	0.012380952	0.000666667
Corncob	500	300	rare	10	0.288704572	0.255333333
Corncob	500	300	rare	2	0.062166667	0.003333333
