name	Sample	OTU	type	effect	mean_TPR	mean_FPR
ALDEx2_wi	100	500	rare	10	0	1.11E-05
ALDEx2_wi	100	500	rare	2	0	0.000116667
ALDEx2_wi	100	500	rare	5	0	0
ALDEx2_wi	20	500	rare	1	0	0
ALDEx2_wi	20	500	rare	10	0	5.56E-06
ALDEx2_wi	20	500	rare	2	0	0
ALDEx2_wi	20	500	rare	5	0	2.22E-05
ALDEx2_wi	200	500	rare	1	0	1.11E-05
ALDEx2_wi	200	500	rare	10	0	3.89E-05
ALDEx2_wi	200	500	rare	2	0	2.78E-05
ALDEx2_wi	200	500	rare	5	0	3.33E-05
ALDEx2_wi	300	500	rare	1	0	0
ALDEx2_wi	300	500	rare	10	1.00E-04	6.67E-05
ALDEx2_wi	300	500	rare	2	0	5.56E-06
ALDEx2_wi	300	500	rare	5	0	1.11E-05
ALDEx2_wi	50	500	rare	1	0	0
ALDEx2_wi	50	500	rare	10	0	0
ALDEx2_wi	50	500	rare	2	0	0
ALDEx2_wi	50	500	rare	5	0	0
ALDEx2_wi	500	500	rare	1	0	1.11E-05
ALDEx2_wi	500	500	rare	10	0.0022	6.00E-04
ALDEx2_wi	500	500	rare	2	0	1.67E-05
ALDEx2_wi	500	500	rare	5	2.00E-04	5.00E-05
ALDEx2_wi	100	800	rare	1	0	5.56E-06
ALDEx2_wi	100	800	rare	10	0	2.78E-05
ALDEx2_wi	100	800	rare	2	0	0
ALDEx2_wi	100	800	rare	5	0	0
ALDEx2_wi	20	800	rare	1	0	0
ALDEx2_wi	20	800	rare	10	0	0
ALDEx2_wi	20	800	rare	2	0	0
ALDEx2_wi	20	800	rare	5	0	0
ALDEx2_wi	200	800	rare	1	0	5.56E-06
ALDEx2_wi	200	800	rare	10	0	5.56E-06
ALDEx2_wi	200	800	rare	2	0	0
ALDEx2_wi	200	800	rare	5	0	0
ALDEx2_wi	300	800	rare	1	0	0
ALDEx2_wi	300	800	rare	10	0	0
ALDEx2_wi	300	800	rare	2	0	0
ALDEx2_wi	300	800	rare	5	0	0
ALDEx2_wi	50	800	rare	1	0	5.56E-06
ALDEx2_wi	50	800	rare	10	0	0
ALDEx2_wi	50	800	rare	2	0	1.11E-05
ALDEx2_wi	50	800	rare	5	0	2.22E-05
ALDEx2_wi	500	800	rare	1	0	0
ALDEx2_wi	500	800	rare	10	0	0
ALDEx2_wi	500	800	rare	2	0	2.78E-05
ALDEx2_wi	500	800	rare	5	0	1.67E-05
Corncob	100	100	rare	1	0	8.89E-05
Corncob	100	100	rare	10	0.171	0.004505556
Corncob	100	100	rare	2	0.004	0.000205556
Corncob	100	100	rare	5	0.0915	0.002372222
Corncob	20	100	rare	1	0	0.000155556
Corncob	20	100	rare	10	0.0045	0.000361111
Corncob	20	100	rare	2	0	1.00E-04
Corncob	20	100	rare	5	0	0.000161111
Corncob	200	100	rare	1	5.00E-04	1.67E-05
Corncob	200	100	rare	10	0.2385	0.006333333
Corncob	200	100	rare	2	0.0365	0.000711111
Corncob	200	100	rare	5	0.159	0.004472222
Corncob	300	100	rare	1	5.00E-04	5.56E-05
Corncob	300	100	rare	10	0.2845	0.007472222
Corncob	300	100	rare	2	0.055	0.0014
Corncob	300	100	rare	5	0.216	0.005466667
Corncob	50	100	rare	1	0	1.11E-05
Corncob	50	100	rare	10	0.0565	0.001638889
Corncob	50	100	rare	2	5.00E-04	0.000105556
Corncob	50	100	rare	5	0.018	0.000438889
Corncob	500	100	rare	1	0	8.33E-05
